"Pražené a solené jadrá mandlí";"1,20";"11,99";"kg";"";"";"ovocie-a-zelenina";"2005100429313";"032";"5051007090032";
"Tesco Zmes jadier lúpaných suchých škrupinových plodov s ovocím a praženými arašidmi 200 g";"2,59";"12,95";"kg";"";"";"ovocie-a-zelenina";"2005100547192";"957";"5051007115957";
"Tesco Arašidy jadrá pražené v mliečnej čokoláde 150 g";"1,29";"8,60";"kg";"";"";"ovocie-a-zelenina";"2005100547290";"097";"5051007114097";
"Tesco Pražené slnečnicové semená nelúpané 200 g";"0,83";"4,15";"kg";"";"";"ovocie-a-zelenina";"2005100242179";"077";"5051007116077";
"Jánoš Dubáky 20 g";"2,39";"119,50";"kg";"";"";"ovocie-a-zelenina";"2002120707445";"018";"8588001861018";
"Poex Mix ovocie v horkej čokoláde 150 g";"1,19";"7,93";"kg";"";"";"ovocie-a-zelenina";"2005100600607";"198";"5051007149198";
"Tesco Finest Zmes jadier mandlí v mliečnej a horkej čokoláde s práškom 150 g";"2,99";"19,93";"kg";"";"";"ovocie-a-zelenina";"2005100553532";"889";"5051007144889";
"Tesco Finest Zemiaky fialové konzumné 1 kg";"0,99";"0,99";"kg";"";"";"ovocie-a-zelenina";"2002020194678";"449";"8588006420449";
"IBK Trade Maliny mrazom sušené, celé 30 g";"2,99";"99,67";"kg";"";"";"ovocie-a-zelenina";"2005100630118";"317";"8592459010317";
"Tesco Mandarínky balené 1 kg";"0,99";"0,99";"kg";"-47%";"1,89";"ovocie-a-zelenina";"2002006558163";"493";"5051007057493";
"Tekvica nelúpaná pražená solená kg";"0,70";"6,99";"kg";"";"";"ovocie-a-zelenina";"2005100396225";"330";"288330";
"Tesco Bazalka črepník";"1,19";"1,19";"Kus";"";"";"ovocie-a-zelenina";"2002006555971";"018";"8595160100018";
"IBK Trade Višne presladené 100 g";"1,99";"19,90";"kg";"";"";"ovocie-a-zelenina";"2005100630161";"591";"8592459010591";
"Tesco Pekanové orechy jadrá 150 g";"2,99";"19,93";"kg";"";"";"ovocie-a-zelenina";"2005100489324";"268";"5051007116268";
"Tesco Cibuľa 3 ks";"0,99";"0,99";"Kus";"";"";"ovocie-a-zelenina";"2002020207834";"357";"8588006420357";
"Tesco Pomaranče balené, 1 kg";"1,69";"1,69";"kg";"";"";"ovocie-a-zelenina";"2002006949138";"742";"5000358569742";
"Hrozienka Jumbo Gold";"0,80";"7,99";"kg";"";"";"ovocie-a-zelenina";"2005100429314";"078";"282078";
"Tesco Finest Lyofilizované jahody v mliečnej čokoláde 100 g";"3,29";"32,90";"kg";"";"";"ovocie-a-zelenina";"2005100547193";"044";"5051007110044";
"Papája Sweet Mary ks";"3,99";"3,99";"Kus";"";"";"ovocie-a-zelenina";"2002020280557";"518";"0000000037518";
"Tesco Hrozienka v mliečnej čokoláde 150 g";"1,29";"8,60";"kg";"";"";"ovocie-a-zelenina";"2005100547291";"134";"5051007114134";
"Tesco Bio pomaranče 750 g";"1,69";"2,25";"kg";"";"";"ovocie-a-zelenina";"2002020307783";"386";"8433262100386";
"Tesco Bio mrkva 500 g";"0,75";"1,50";"kg";"";"";"ovocie-a-zelenina";"2002020188139";"247";"8594045910247";
"Pomelo ks";"2,99";"2,99";"Kus";"";"";"ovocie-a-zelenina";"2002008446642";"178";"8586011492178";
"Tesco Mandle jadrá pražené v mliečnej čokoláde a škorici 150 g";"1,89";"12,60";"kg";"";"";"ovocie-a-zelenina";"2005100547278";"960";"5051007113960";
"Tesco Tamarillo ks";"1,99";"1,99";"Kus";"";"";"ovocie-a-zelenina";"2002006559061";"002";"8595160103002";
"Tesco Sušené marhuľové kocky v bielej čokoláde 150 g";"1,29";"8,60";"kg";"";"";"ovocie-a-zelenina";"2005100600598";"204";"5051007149204";
"Tesco Píniové orechy jadrá 50 g";"1,99";"39,80";"kg";"";"";"ovocie-a-zelenina";"2005100489367";"971";"5051007115971";
"Avokádo 700 g";"2,69";"3,84";"kg";"";"";"ovocie-a-zelenina";"2002020313109";"264";"8428996402264";
"Tesco Paradajky strawberry 300 g";"2,59";"8,63";"kg";"";"";"ovocie-a-zelenina";"2002020267406";"205";"8588007151205";
"Tesco Rozmarín/tymián črepník 8 cm";"1,49";"1,49";"Kus";"";"";"ovocie-a-zelenina";"2002020290354";"049";"8594171921049";
"Tesco Vykôstkované slivky 500 g";"3,39";"6,78";"kg";"";"";"ovocie-a-zelenina";"2005100242293";"414";"5051007115414";
"Tesco Kandizovaný zázvor 150 g";"1,79";"11,93";"kg";"";"";"ovocie-a-zelenina";"2005100396862";"889";"5051007115889";
"Tesco Kokosové kocky v mliečnej čokoláde 500 g";"4,29";"8,58";"kg";"";"";"ovocie-a-zelenina";"2005100547284";"042";"5051007114042";
"Tesco Zmes lúpaných semien a lúpaných píniových orechov 150 g";"2,49";"16,60";"kg";"";"";"ovocie-a-zelenina";"2005100489358";"145";"5051007116145";
"Tesco Marhule vykôstkované čiastočne rehydratované 200 g";"1,79";"8,95";"kg";"-21%";"2,29";"ovocie-a-zelenina";"2005100547253";"865";"5051007115865";
"Jánoš Zmes lesných húb 20 g";"2,19";"109,50";"kg";"";"";"ovocie-a-zelenina";"2002120707474";"025";"8588001861025";
"Tesco Finest Lyofilizované jahody v bielej čokoláde 100 g";"3,29";"32,90";"kg";"";"";"ovocie-a-zelenina";"2005100547272";"068";"5051007110068";
"Tesco Finest Zmes karamelizovaných jadier 150 g";"3,39";"22,60";"kg";"";"";"ovocie-a-zelenina";"2005100553533";"896";"5051007144896";
"Tesco Perfectly Imperfect cesnak 200 g";"0,99";"4,95";"kg";"";"";"ovocie-a-zelenina";"2002020194679";"289";"8588006420289";
"Študentská zmes";"0,90";"8,99";"kg";"";"";"ovocie-a-zelenina";"2005100241512";"737";"281737";
"Tesco Zmes spracovaného ovocia a semien 60 g";"0,89";"14,83";"kg";"-35%";"1,39";"ovocie-a-zelenina";"2005100485667";"158";"5051007127158";
"Tesco Petržlenová vňať hladká 80 g";"0,89";"11,13";"kg";"";"";"ovocie-a-zelenina";"2002009192807";"046";"8595160101046";
"IBK Trade Ananás mrazom sušený, kúsky 30 g";"2,99";"99,67";"kg";"";"";"ovocie-a-zelenina";"2005100630119";"331";"8592459010331";
"Poex Mandle tiramisu 150 g";"1,99";"13,27";"kg";"";"";"ovocie-a-zelenina";"2005100600603";"273";"5051007149273";
"Tesco Toscana šalát mix 130 g";"0,79";"6,08";"kg";"-27%";"1,09";"ovocie-a-zelenina";"2002020018583";"803";"5051007102803";
"Dr. Ensa Gaštany pečené lúpané 100 g";"1,29";"12,90";"kg";"";"";"ovocie-a-zelenina";"2005100579598";"714";"8586018185714";
"Tesco Mleté pražené lieskové oriešky 200 g";"2,89";"14,45";"kg";"-27%";"3,99";"ovocie-a-zelenina";"2005100603879";"957";"5051007144957";
"Tesco Strúhaný kokos 200 g";"0,95";"4,75";"kg";"";"";"ovocie-a-zelenina";"2005100396844";"575";"5051007115575";
"Tesco Figy čiastočne rehydratované 200 g";"2,39";"11,95";"kg";"-20%";"2,99";"ovocie-a-zelenina";"2005100547251";"015";"5051007116015";
"Sušené brusnice presladené voľné";"0,80";"7,99";"kg";"";"";"ovocie-a-zelenina";"2005100241984";"290";"288290";
"Tesco Ananás 140 g";"2,69";"19,21";"kg";"";"";"ovocie-a-zelenina";"2005100485665";"988";"5051007115988";
"Tesco Petržlen kučeravý črepník ks";"1,19";"1,19";"Kus";"";"";"ovocie-a-zelenina";"2002014255719";"445";"8595160100445";
"Tesco Lúpané tekvicové semienka 200 g";"2,19";"10,95";"kg";"";"";"ovocie-a-zelenina";"2005100241884";"039";"5051007116039";
"Tesco Goji 200 g";"3,29";"16,45";"kg";"";"";"ovocie-a-zelenina";"2005100579611";"053";"5051007116053";
"Hrozienka v mliečnej čokoláde";"0,70";"6,99";"kg";"";"";"ovocie-a-zelenina";"2002020205590";"469";"282469";
"Tesco Finest Lyofilizované jahody v horkej čokoláde 100 g";"3,29";"32,90";"kg";"";"";"ovocie-a-zelenina";"2005100547195";"051";"5051007110051";
"Tesco Brusnice celé, presladené 200 g";"1,69";"0,01";"kg";"";"";"ovocie-a-zelenina";"2005100547292";"827";"5051007115827";
"Tesco Organic Bio uhorky, ks";"1,19";"1,19";"Kus";"";"";"ovocie-a-zelenina";"2002015950224";"298";"8433262090298";
"Tesco Finest Paradajky cherry extra sladké 250 g";"2,59";"10,36";"kg";"";"";"ovocie-a-zelenina";"2002121259909";"373";"8588005311373";
"Tesco Tropická zmes";"0,60";"5,99";"kg";"";"";"ovocie-a-zelenina";"2005100605025";"585";"282585";
"Tesco Finest Jemne slané karamelizované jadrá orechov 150 g";"3,39";"22,60";"kg";"";"";"ovocie-a-zelenina";"2005100397076";"000";"5051007109000";
"Tesco Lieskové oriešky jadrá pražené v mliečnej čokoláde a škorici 100 g";"1,29";"12,90";"kg";"";"";"ovocie-a-zelenina";"2005100579604";"035";"5051007114035";
"Tesco Hrozno biele bezkôstkové 500 g";"2,79";"5,58";"kg";"";"";"ovocie-a-zelenina";"2002020302697";"096";"0000010066096";
"Tesco Chia semená 100 g";"0,62";"6,20";"kg";"";"";"ovocie-a-zelenina";"2005100579613";"091";"5051007116091";
"Tesco Bio mandarínky 750 g";"2,29";"3,05";"kg";"";"";"ovocie-a-zelenina";"2002020307784";"459";"8433262105459";
"Tesco Zmes presladeného pomaranča a citrónu 100 g";"0,79";"7,90";"kg";"";"";"ovocie-a-zelenina";"2005100579662";"202";"5051007127202";
"Výhonky mix mungo / hrášok 200 g";"1,89";"1,89";"Kus";"";"";"ovocie-a-zelenina";"2002020269715";"115";"8595160133115";
"Tesco Mandle jadrá pražené v horkej čokoláde 100 g";"1,29";"12,90";"kg";"";"";"ovocie-a-zelenina";"2005100547280";"080";"5051007114080";
